strYMDH,Time,Wind_Speed_in_kts,Wind_Gust_in_kts,Wind_Direction_in_deg,Visibility_in_mi,Precipitation_in_in,Precipitation_Type,Temperature,Dew_Point,Altimeter_in_in_H
2008-01-04 20,'2008-01-04 08:51 pm CST,17,25,200,10,0,none,33.8,21.2,30.06
2008-01-04 21,'2008-01-04 09:51 pm CST,16,M,200,10,0,none,35.6,23,30.05
2008-01-04 22,'2008-01-04 10:51 pm CST,18,25,200,10,0,none,35.6,24.8,30.03
2008-01-04 23,'2008-01-04 11:51 pm CST,21,30,210,10,0,none,35.6,24.8,30.01
2008-01-05 00,'2008-01-05 12:51 am CST,21,24,200,10,0,none,35.6,24.8,29.99
2008-01-05 01,'2008-01-05 01:51 am CST,17,24,210,10,0,none,35.6,24.8,29.97
2008-01-05 02,'2008-01-05 02:51 am CST,18,26,210,10,0,none,37.4,24.8,29.96
2008-01-05 03,'2008-01-05 03:51 am CST,16,29,210,10,0,rain,35.6,28.4,29.95
2008-01-05 04,'2008-01-05 04:51 am CST,16,M,200,10,0,rain,35.6,30.2,29.94
2008-01-05 05,'2008-01-05 05:51 am CST,15,23,190,10,0,none,37.4,32,29.94
2008-01-05 06,'2008-01-05 06:51 am CST,14,M,200,10,0,none,35.6,32,29.93
2008-01-05 07,'2008-01-05 07:51 am CST,12,M,190,9,0,none,35.6,32,29.92
2008-01-05 08,'2008-01-05 08:51 am CST,13,M,200,8,0,none,37.4,33.8,29.91
2008-01-05 09,'2008-01-05 09:51 am CST,12,M,200,8,0,none,37.4,33.8,29.91
2008-01-05 10,'2008-01-05 10:51 am CST,13,M,200,7,0,none,39.2,35.6,29.9
2008-01-05 11,'2008-01-05 11:51 am CST,12,M,210,7,0,none,39.2,35.6,29.88
2008-01-05 24,'2008-01-05 12:51 pm CST,17,25,210,6,0,mist,41,37.4,29.86
2008-01-05 13,'2008-01-05 01:51 pm CST,13,25,210,5,0,mist,42.8,37.4,29.84
2008-01-05 14,'2008-01-05 02:51 pm CST,14,25,200,5,0,mist,42.8,39.2,29.82
2008-01-05 15,'2008-01-05 03:51 pm CST,16,M,190,6,0,mist,42.8,39.2,29.83
2008-01-05 16,'2008-01-05 04:51 pm CST,12,M,200,5,0,mist,42.8,39.2,29.84
2008-01-05 17,'2008-01-05 05:51 pm CST,14,M,200,6,0,mist,42.8,39.2,29.85
2008-01-05 18,'2008-01-05 06:51 pm CST,10,M,190,5,0,mist,42.8,39.2,29.86
2008-01-05 19,'2008-01-05 07:51 pm CST,12,M,190,5,0,mist,42.8,39.2,29.86
2008-01-05 20,'2008-01-05 08:51 pm CST,10,M,190,5,0,mist,42.8,39.2,29.86
2008-01-05 21,'2008-01-05 09:51 pm CST,13,M,200,4,0,mist,42.8,41,29.85
2008-01-05 22,'2008-01-05 10:51 pm CST,14,M,200,1,0,mist,42.8,41,29.85
2008-01-05 23,'2008-01-05 11:51 pm CST,10,M,180,1,0,drizzle,42.8,42.8,29.84
2008-01-06 00,'2008-01-06 12:51 am CST,9,M,170,1,0,drizzle,42.8,41,29.83
2008-01-06 01,'2008-01-06 01:51 am CST,9,M,180,3,0,light drizzle,42.8,41,29.85
2008-01-06 02,'2008-01-06 02:51 am CST,6,M,170,1,0,fog,42.8,41,29.83
2008-01-06 03,'2008-01-06 03:51 am CST,9,M,170,1,0,mist,42.8,42.8,29.81
2008-01-06 04,'2008-01-06 04:51 am CST,9,M,180,1,0,fog,44.6,44.6,29.8
2008-01-06 05,'2008-01-06 05:51 am CST,13,M,180,1,0,fog,46.4,44.6,29.79
2008-01-06 06,'2008-01-06 06:51 am CST,14,M,180,1,0,fog,46.4,46.4,29.78
2008-01-06 07,'2008-01-06 07:51 am CST,16,M,180,2,0,mist,48.2,48.2,29.77
2008-01-06 08,'2008-01-06 08:51 am CST,13,M,180,2,0,mist,50,48.2,29.77
2008-01-06 09,'2008-01-06 09:51 am CST,16,M,180,2,0,mist,51.8,50,29.77
2008-01-06 10,'2008-01-06 10:51 am CST,21,M,180,3,0,mist,53.6,51.8,29.74
2008-01-06 11,'2008-01-06 11:51 am CST,16,23,190,3,0,mist,55.4,51.8,29.72
2008-01-06 24,'2008-01-06 12:51 pm CST,14,M,190,6,0.01,mist,57.2,53.6,29.68
2008-01-06 13,'2008-01-06 01:51 pm CST,15,22,200,10,0,none,57.2,53.6,29.67
2008-01-06 14,'2008-01-06 02:51 pm CST,16,22,200,10,0,none,60.8,53.6,29.67
2008-01-06 15,'2008-01-06 03:51 pm CST,16,M,210,10,0,none,60.8,53.6,29.68
2008-01-06 16,'2008-01-06 04:51 pm CST,23,35,210,10,0,none,60.8,53.6,29.7
2008-01-06 17,'2008-01-06 05:51 pm CST,16,23,240,10,0,none,60.8,55.4,29.72
2008-01-06 18,'2008-01-06 06:51 pm CST,13,M,190,10,0,none,57.2,53.6,29.74
2008-01-06 19,'2008-01-06 07:51 pm CST,12,M,210,10,0,none,57.2,53.6,29.75
2008-01-06 20,'2008-01-06 08:51 pm CST,12,M,220,10,0,none,57.2,53.6,29.77
2008-01-06 21,'2008-01-06 09:51 pm CST,14,22,220,10,0,none,55.4,53.6,29.79
2008-01-06 22,'2008-01-06 10:51 pm CST,8,M,230,10,0,none,55.4,51.8,29.8
2008-01-06 23,'2008-01-06 11:51 pm CST,7,M,230,7,0,none,53.6,51.8,29.81
2008-01-07 00,'2008-01-07 12:51 am CST,5,M,200,7,0,none,51.8,51.8,29.82
2008-01-07 01,'2008-01-07 01:51 am CST,6,M,220,9,0,none,51.8,50,29.83
2008-01-07 02,'2008-01-07 02:51 am CST,7,M,210,10,0,none,51.8,48.2,29.84
2008-01-07 03,'2008-01-07 03:51 am CST,5,M,180,6,0,mist,51.8,48.2,29.83
2008-01-07 04,'2008-01-07 04:51 am CST,12,M,210,6,0,mist,55.4,53.6,29.84
2008-01-07 05,'2008-01-07 05:51 am CST,12,18,200,8,0,none,55.4,53.6,29.84
2008-01-07 06,'2008-01-07 06:51 am CST,16,M,190,9,0,none,57.2,53.6,29.84
2008-01-07 07,'2008-01-07 07:51 am CST,17,23,190,10,0,none,57.2,53.6,29.83
2008-01-07 08,'2008-01-07 08:51 am CST,17,24,200,10,0,none,60.8,55.4,29.83
2008-01-07 09,'2008-01-07 09:51 am CST,20,30,210,10,0,none,60.8,55.4,29.83
2008-01-07 10,'2008-01-07 10:51 am CST,22,33,210,10,0,none,62.6,55.4,29.8
2008-01-07 11,'2008-01-07 11:51 am CST,24,35,210,10,0,none,64.4,55.4,29.77
2008-01-07 24,'2008-01-07 12:51 pm CST,26,35,210,10,0,none,64.4,55.4,29.76
2008-01-07 13,'2008-01-07 01:51 pm CST,22,28,210,10,0,rain,64.4,57.2,29.76
2008-01-07 14,'2008-01-07 02:51 pm CST,24,31,210,10,0,rain,64.4,55.4,29.76
2008-01-07 15,'2008-01-07 03:51 pm CST,17,30,200,10,0,none,64.4,55.4,29.78
2008-01-07 16,'2008-01-07 04:51 pm CST,20,29,190,10,0,rain,62.6,55.4,29.76
2008-01-07 17,'2008-01-07 05:51 pm CST,23,31,190,8,0.02,light thunderstorm rain,62.6,55.4,29.77
2008-01-07 18,'2008-01-07 06:51 pm CST,,M,,,,M,,,
2008-01-07 19,'2008-01-07 07:51 pm CST,12,M,200,10,0,thunderstorm rain,55.4,51.8,29.8
2008-01-07 20,'2008-01-07 08:51 pm CST,12,M,200,10,0,none,55.4,50,29.8
2008-01-07 21,'2008-01-07 09:51 pm CST,14,M,200,10,0,none,53.6,51.8,29.79
2008-01-07 22,'2008-01-07 10:51 pm CST,14,M,210,10,0,light rain,55.4,51.8,29.81
2008-01-07 23,'2008-01-07 11:51 pm CST,10,M,210,10,0.01,light rain,55.4,51.8,29.8
2008-01-08 00,'2008-01-08 12:51 am CST,,M,,,,M,,,
2008-01-08 01,'2008-01-08 01:51 am CST,12,M,190,10,0.03,light rain,55.4,53.6,29.78
2008-01-08 02,'2008-01-08 02:51 am CST,8,M,200,10,0.01,light rain,53.6,53.6,29.75
2008-01-08 03,'2008-01-08 03:51 am CST,14,M,170,6,0.05,light rain,53.6,51.8,29.73
2008-01-08 04,'2008-01-08 04:51 am CST,14,M,160,6,0.09,light rain,53.6,51.8,29.71
2008-01-08 05,'2008-01-08 05:51 am CST,24,M,150,6,0.11,light rain,53.6,51.8,29.71
2008-01-08 06,'2008-01-08 06:51 am CST,26,33,130,7,0.11,light rain,53.6,51.8,29.68
2008-01-08 07,'2008-01-08 07:51 am CST,15,M,130,4,0.07,light rain,53.6,51.8,29.66
2008-01-08 08,'2008-01-08 08:51 am CST,9,M,140,4,0.08,light rain,51.8,50,29.68
2008-01-08 09,'2008-01-08 09:51 am CST,5,M,210,5,0.01,mist,53.6,51.8,29.66
2008-01-08 10,'2008-01-08 10:51 am CST,12,M,210,10,0,none,55.4,51.8,29.65
2008-01-08 11,'2008-01-08 11:51 am CST,15,M,210,10,0,none,55.4,51.8,29.62
2008-01-08 24,'2008-01-08 12:51 pm CST,9,M,210,10,0,none,55.4,51.8,29.59
2008-01-08 13,'2008-01-08 01:51 pm CST,9,M,200,6,0,light rain,55.4,51.8,29.56
2008-01-08 14,'2008-01-08 02:51 pm CST,10,M,210,4,0.01,light rain,53.6,51.8,29.55
2008-01-08 15,'2008-01-08 03:51 pm CST,9,M,290,10,0.02,rain,48.2,46.4,29.58
2008-01-08 16,'2008-01-08 04:51 pm CST,12,M,280,10,0,light drizzle,44.6,42.8,29.6
2008-01-08 17,'2008-01-08 05:51 pm CST,14,M,300,10,0,drizzle,41,37.4,29.61
2008-01-08 18,'2008-01-08 06:51 pm CST,18,M,310,10,0,light rain,39.2,35.6,29.63
2008-01-08 19,'2008-01-08 07:51 pm CST,15,M,310,10,0,light rain,37.4,35.6,29.65
2008-01-08 20,'2008-01-08 08:51 pm CST,14,23,300,10,0,light rain,37.4,33.8,29.67
2008-01-08 21,'2008-01-08 09:51 pm CST,18,25,310,10,0.01,light rain,37.4,33.8,29.69
2008-01-08 22,'2008-01-08 10:51 pm CST,14,24,300,10,0,rain,37.4,35.6,29.73
2008-01-08 23,'2008-01-08 11:51 pm CST,20,24,290,10,0,none,37.4,33.8,29.79
2008-01-09 00,'2008-01-09 12:51 am CST,21,26,280,10,0,none,37.4,33.8,29.84
2008-01-09 01,'2008-01-09 01:51 am CST,13,M,290,10,0,none,37.4,32,29.89
2008-01-09 02,'2008-01-09 02:51 am CST,15,24,300,10,0,none,35.6,28.4,29.93
2008-01-09 03,'2008-01-09 03:51 am CST,14,M,290,8,0,none,33.8,26.6,29.96
2008-01-09 04,'2008-01-09 04:51 am CST,10,18,280,7,0,none,32,26.6,29.97
2008-01-09 05,'2008-01-09 05:51 am CST,9,M,260,5,0,mist,30.2,26.6,30.01
2008-01-09 06,'2008-01-09 06:51 am CST,8,M,250,6,0,mist,30.2,26.6,30.05
2008-01-09 07,'2008-01-09 07:51 am CST,7,M,240,4,0,mist,30.2,26.6,30.08
2008-01-09 08,'2008-01-09 08:51 am CST,8,M,240,5,0,mist,30.2,26.6,30.1
2008-01-09 09,'2008-01-09 09:51 am CST,6,M,250,7,0,none,32,26.6,30.11
2008-01-09 10,'2008-01-09 10:51 am CST,10,M,260,9,0,none,33.8,28.4,30.13
2008-01-09 11,'2008-01-09 11:51 am CST,9,M,250,10,0,none,35.6,28.4,30.12
2008-01-09 24,'2008-01-09 12:51 pm CST,6,M,260,10,0,none,37.4,28.4,30.11
2008-01-09 13,'2008-01-09 01:51 pm CST,7,M,230,10,0,none,37.4,30.2,30.11
2008-01-09 14,'2008-01-09 02:51 pm CST,5,M,,10,0,none,39.2,30.2,30.11
2008-01-09 15,'2008-01-09 03:51 pm CST,7,M,220,10,0,none,37.4,28.4,30.12
2008-01-09 16,'2008-01-09 04:51 pm CST,5,M,220,10,0,none,37.4,28.4,30.12
2008-01-09 17,'2008-01-09 05:51 pm CST,6,M,180,10,0,none,35.6,30.2,30.11
2008-01-09 18,'2008-01-09 06:51 pm CST,3,M,190,10,0,none,35.6,30.2,30.11
2008-01-09 19,'2008-01-09 07:51 pm CST,5,M,90,10,0,none,35.6,30.2,30.1
2008-01-09 20,'2008-01-09 08:51 pm CST,5,M,170,10,0,none,35.6,30.2,30.1
2008-01-09 21,'2008-01-09 09:51 pm CST,8,M,160,10,0,none,35.6,30.2,30.08
2008-01-09 22,'2008-01-09 10:51 pm CST,9,M,140,10,0,none,35.6,30.2,30.07
2008-01-09 23,'2008-01-09 11:51 pm CST,7,M,150,10,0,none,35.6,30.2,30.05
2008-01-10 00,'2008-01-10 12:51 am CST,5,M,130,9,0,none,33.8,30.2,30.04
2008-01-10 01,'2008-01-10 01:51 am CST,5,M,150,9,0,none,33.8,28.4,30.05
2008-01-10 02,'2008-01-10 02:51 am CST,6,M,120,8,0,none,33.8,30.2,30.04
2008-01-10 03,'2008-01-10 03:51 am CST,7,M,120,9,0,none,35.6,30.2,30.01
2008-01-10 04,'2008-01-10 04:51 am CST,7,M,100,8,0,none,35.6,30.2,29.97
2008-01-10 05,'2008-01-10 05:51 am CST,8,M,100,9,0,none,35.6,30.2,29.96
2008-01-10 06,'2008-01-10 06:51 am CST,8,M,100,9,0,none,35.6,30.2,29.93
2008-01-10 07,'2008-01-10 07:51 am CST,7,M,80,7,0,none,37.4,30.2,29.9
2008-01-10 08,'2008-01-10 08:51 am CST,8,M,80,7,0,none,37.4,30.2,29.87
2008-01-10 09,'2008-01-10 09:51 am CST,12,20,90,7,0,none,37.4,30.2,29.82
2008-01-10 10,'2008-01-10 10:51 am CST,13,M,100,9,0,none,39.2,30.2,29.77
2008-01-10 11,'2008-01-10 11:51 am CST,18,29,120,10,0,none,42.8,28.4,29.69
2008-01-10 24,'2008-01-10 12:51 pm CST,17,24,120,10,0,none,42.8,30.2,29.65
2008-01-10 13,'2008-01-10 01:51 pm CST,8,M,90,10,0,none,42.8,30.2,29.59
2008-01-10 14,'2008-01-10 02:51 pm CST,16,M,110,10,0,none,42.8,30.2,29.56
2008-01-10 15,'2008-01-10 03:51 pm CST,10,M,100,8,0.01,light rain,42.8,33.8,29.52
2008-01-10 16,'2008-01-10 04:51 pm CST,8,M,70,7,0.03,light rain,39.2,35.6,29.48
2008-01-10 17,'2008-01-10 05:51 pm CST,13,24,50,5,0.07,light rain,39.2,35.6,29.45
2008-01-10 18,'2008-01-10 06:51 pm CST,10,M,50,4,0.03,light rain,37.4,35.6,29.42
2008-01-10 19,'2008-01-10 07:51 pm CST,8,M,40,2,0.05,light rain snow,37.4,35.6,29.4
2008-01-10 20,'2008-01-10 08:51 pm CST,8,M,50,5,0.06,light rain snow,35.6,33.8,29.39
2008-01-10 21,'2008-01-10 09:51 pm CST,6,M,30,5,0.04,light rain snow,35.6,33.8,29.37
2008-01-10 22,'2008-01-10 10:51 pm CST,5,M,330,5,0.01,light rain snow,35.6,33.8,29.38
2008-01-10 23,'2008-01-10 11:51 pm CST,9,M,300,5,0,light rain snow,33.8,32,29.39
2008-01-11 00,'2008-01-11 12:51 am CST,12,M,290,4,0.01,light snow,33.8,32,29.4
2008-01-11 01,'2008-01-11 01:51 am CST,10,M,290,10,0,snow,33.8,32,29.43
2008-01-11 02,'2008-01-11 02:51 am CST,12,M,290,10,0,none,33.8,30.2,29.47
2008-01-11 03,'2008-01-11 03:51 am CST,12,20,290,10,0,none,33.8,30.2,29.49
2008-01-11 04,'2008-01-11 04:51 am CST,14,M,290,10,0,none,35.6,30.2,29.52
2008-01-11 05,'2008-01-11 05:51 am CST,10,M,280,10,0,none,35.6,30.2,29.56
2008-01-11 06,'2008-01-11 06:51 am CST,14,M,290,10,0,none,33.8,30.2,29.6
2008-01-11 07,'2008-01-11 07:51 am CST,14,M,300,9,0,drizzle,33.8,30.2,29.62
2008-01-11 08,'2008-01-11 08:51 am CST,13,M,280,6,0,mist,33.8,30.2,29.66
2008-01-11 09,'2008-01-11 09:51 am CST,12,18,270,8,0,none,35.6,30.2,29.7
2008-01-11 10,'2008-01-11 10:51 am CST,9,M,260,7,0,light drizzle,35.6,30.2,29.71
2008-01-11 11,'2008-01-11 11:51 am CST,15,22,270,7,0,drizzle,35.6,30.2,29.7
2008-01-11 24,'2008-01-11 12:51 pm CST,13,M,280,5,0,haze,35.6,30.2,29.71
2008-01-11 13,'2008-01-11 01:51 pm CST,9,M,260,4,0,haze,35.6,30.2,29.73
2008-01-11 14,'2008-01-11 02:51 pm CST,10,M,250,4,0,haze,35.6,28.4,29.75
2008-01-11 15,'2008-01-11 03:51 pm CST,14,M,250,4,0,haze,33.8,28.4,29.79
2008-01-11 16,'2008-01-11 04:51 pm CST,9,M,250,4,0,haze,33.8,28.4,29.82
2008-01-11 17,'2008-01-11 05:51 pm CST,8,M,250,6,0,haze,33.8,26.6,29.84
2008-01-11 18,'2008-01-11 06:51 pm CST,7,M,250,7,0,none,33.8,26.6,29.86
2008-01-11 19,'2008-01-11 07:51 pm CST,8,M,250,8,0,none,32,26.6,29.88
2008-01-11 20,'2008-01-11 08:51 pm CST,7,M,240,8,0,none,30.2,24.8,29.89
2008-01-11 21,'2008-01-11 09:51 pm CST,12,M,260,9,0,none,30.2,24.8,29.9
2008-01-11 22,'2008-01-11 10:51 pm CST,5,M,250,9,0,none,28.4,24.8,29.9
2008-01-11 23,'2008-01-11 11:51 pm CST,6,M,220,5,0,mist,28.4,24.8,29.9
2008-01-12 00,'2008-01-12 12:51 am CST,3,M,270,5,0,mist,26.6,23,29.93
2008-01-12 01,'2008-01-12 01:51 am CST,3,M,250,5,0,mist,26.6,24.8,29.95
2008-01-12 02,'2008-01-12 02:51 am CST,3,M,230,4,0,mist,26.6,24.8,29.97
2008-01-12 03,'2008-01-12 03:51 am CST,6,M,180,4,0,mist,26.6,24.8,29.97
2008-01-12 04,'2008-01-12 04:51 am CST,5,M,160,5,0,mist,24.8,23,29.97
2008-01-12 05,'2008-01-12 05:51 am CST,6,M,160,5,0,mist,28.4,24.8,29.97
2008-01-12 06,'2008-01-12 06:51 am CST,8,M,140,6,0,mist,28.4,24.8,29.97
2008-01-12 07,'2008-01-12 07:51 am CST,3,M,160,5,0,mist,28.4,24.8,30
2008-01-12 08,'2008-01-12 08:51 am CST,6,M,170,5,0,mist,30.2,26.6,30.01
2008-01-12 09,'2008-01-12 09:51 am CST,9,M,160,6,0,haze,32,26.6,30.02
2008-01-12 10,'2008-01-12 10:51 am CST,9,M,160,7,0,none,35.6,28.4,30.01
2008-01-12 11,'2008-01-12 11:51 am CST,9,M,150,9,0,none,37.4,26.6,29.98
2008-01-12 24,'2008-01-12 12:51 pm CST,13,M,150,10,0,none,39.2,26.6,29.95
